timestamp,value,orig,bdm0,bdm1,median,linapprox,FAR
1396915200,39384,0,1,0,0,0,0
1396916100,38629,0,1,0,0,0,0
1396917000,38632,0,1,0,0,0,1
1396917900,38997,0,1,0,0,0,0
1396918800,38152,0,1,0,0,0,0
1396919700,38342,0,1,0,0,0,0
1396920600,38995,0,1,0,0,0,0
1396921500,38458,0,1,0,0,0,0
1396922400,38845,0,1,0,0,0,0
1396923300,40409,0,1,0,0,0,0
1396924200,40521,0,1,0,0,0,0
1396925100,40942,0,1,0,0,0,0
1396926000,40506,0,1,0,0,0,0
1396926900,40851,0,1,0,0,0,0
1396927800,39827,0,1,0,0,0,0
1396928700,40049,0,1,0,0,0,0
1396929600,39191,0,1,0,0,0,0
1396930500,39699,0,1,0,0,0,0
1396931400,39856,0,1,0,0,0,0
1396932300,39673,0,1,0,0,0,0
1396933200,39427,0,1,0,0,0,0
1396934100,40037,0,1,0,0,0,0
1396935000,40630,0,1,0,0,0,0
1396935900,40570,0,1,0,0,0,0
1396936800,40655,0,1,0,0,0,0
1396937700,41357,0,1,0,0,0,0
1396938600,41088,0,1,0,0,0,0
1396939500,40983,0,1,0,0,0,0
1396940400,40821,0,1,0,0,0,0
1396941300,41528,0,1,0,0,0,0
1396942200,42075,0,1,0,0,0,0
1396943100,42198,0,1,0,0,0,0
1396944000,41923,0,1,0,0,0,0
1396944900,41812,0,1,0,0,0,0
1396945800,41688,0,1,0,0,0,0
1396946700,42230,0,1,0,0,0,0
1396947600,42478,0,1,0,0,0,0
1396948500,42607,0,1,0,0,0,0
1396949400,42800,0,1,0,0,0,0
1396950300,42517,0,1,0,0,0,0
1396951200,43719,0,1,0,0,0,0
1396952100,43315,0,1,0,0,0,0
1396953000,43471,0,1,0,0,0,0
1396953900,43467,0,1,0,0,0,0
1396954800,43941,0,1,0,0,0,0
1396955700,43482,0,1,0,0,0,0
1396956600,42819,0,1,0,0,0,0
1396957500,42195,0,1,0,0,0,0
1396958400,42405,0,1,0,0,0,0
1396959300,41347,0,1,0,0,0,0
1396960200,39950,0,1,0,0,0,0
1396961100,39005,0,1,0,0,0,0
1396962000,37709,0,1,0,0,0,0
1396962900,36488,1,1,0,1,0,0
1396963800,33894,1,1,1,1,0,0
1396964700,34462,1,1,0,0,1,0
1396965600,37471,1,1,1,0,0,0
1396966500,36962,1,1,0,0,1,0
1396967400,35953,1,1,0,0,0,0
1396968300,35795,1,1,0,0,0,0
1396969200,34963,1,1,0,0,0,0
1396970100,34661,1,1,0,0,0,0
1396971000,32745,1,1,0,0,0,0
1396971900,33733,1,1,0,0,1,0
1396972800,33649,1,1,0,0,0,0
1396973700,33256,1,1,0,0,0,0
1396974600,33055,1,1,0,0,0,0
1396975500,33085,1,1,0,0,0,0
1396976400,33028,1,1,0,0,0,0
1396977300,32904,1,1,0,0,0,0
1396978200,32731,1,1,0,0,0,0
1396979100,32842,1,1,0,0,0,0
1396980000,32926,0,1,0,0,0,0
1396980900,32970,0,1,0,0,0,0
1396981800,33402,0,1,0,0,0,0
1396982700,33501,0,1,0,0,0,0
1396983600,34061,0,1,0,0,0,0
1396984500,34771,0,1,0,0,0,0
1396985400,35202,0,1,0,0,0,0
1396986300,36239,0,1,0,0,0,0
1396987200,37756,0,1,0,0,0,0
1396988100,38990,0,1,0,0,0,0
1396989000,39912,0,1,0,0,0,0
1396989900,39765,0,1,0,0,0,0
1396990800,41398,0,1,0,0,0,0
1396991700,41594,0,1,0,0,0,0
1396992600,41726,0,1,0,0,0,0
1396993500,41720,0,1,0,0,0,0
1396994400,42359,0,1,0,0,0,0
1396995300,42638,0,1,0,0,0,0
1396996200,41849,0,1,0,0,0,0
1396997100,41550,0,1,0,0,0,0
1396998000,42002,0,1,0,0,0,0
1396998900,42255,0,1,0,0,0,0
1396999800,42606,0,1,0,0,0,0
1397000700,43088,0,1,0,0,0,0
1397001600,41381,0,1,0,0,0,0
1397002500,42532,0,1,0,0,0,0
1397003400,42012,0,1,0,0,0,0
1397004300,42461,0,1,0,0,0,0
1397005200,42506,0,1,0,0,0,0
1397006100,42366,0,1,0,0,0,0
1397007000,42609,0,1,0,0,0,0
1397007900,42776,0,1,0,0,0,0
1397008800,43245,0,1,0,0,0,0
1397009700,44016,0,1,0,0,0,0
1397010600,44466,0,1,0,0,0,0
1397011500,44654,0,1,0,0,0,0
1397012400,44446,0,1,0,0,0,0
1397013300,44759,0,1,0,0,0,0
1397014200,43971,0,1,0,0,0,0
1397015100,44280,0,1,0,0,0,0
