timestamp,value,label,bdm0,bdm1,median,linapprox,FAR,,,,,,,,,,,,,
1396999800,48941,0,0,0,0,0,0,,,,,,,,,,,,,
1397000700,49798,0,0,0,0,0,0,,,,,,,,,,,,,
1397001600,49376,0,0,0,0,0,0,,,,,,,,,,,,,
1397002500,48392,0,0,0,0,0,0,,,,,,,,,,,,,
1397003400,48592,0,0,0,0,0,0,,,,,,,,,,,,,
1397004300,49145,0,0,0,0,0,0,,,,,,,,,,,,,
1397005200,49704,0,0,0,0,0,0,,,,,,,,,,,,,
1397006100,50666,0,0,0,0,0,0,,,,,,,,,,,,,
1397007000,51214,0,0,0,0,0,0,,,,,,,,,,,,,
1397007900,51334,0,0,0,0,0,0,,,,,,,,,,,,,
1397008800,50895,0,0,0,0,0,0,,,,,,,,,,,,,
1397009700,51159,0,0,0,0,0,0,,,,,,,,,,,,,
1397010600,51711,0,0,0,0,0,0,,,,,,,,,,,,,
1397011500,51352,0,0,0,0,0,0,,,,,,,,,,,,,
1397012400,51716,0,0,0,0,0,0,,,,,,,,,,,,,
1397013300,52237,0,0,0,0,0,0,,,,,,,,,,,,,
1397014200,52211,0,0,0,0,0,0,,,,,,,,,,,,,
1397015100,52167,0,0,0,0,0,0,,,,,,,,,,,,,
1397016000,51994,0,0,0,0,0,0,,,,,,,,,,,,,
1397016900,52490,0,0,0,0,0,0,,,,,,,,,,,,,
1397017800,53064,0,0,0,0,0,0,,,,,,,,,,,,,
1397018700,53750,0,0,0,0,0,0,,,,,,,,,,,,,
1397019600,53447,0,0,0,0,0,0,,,,,,,,,,,,,
1397020500,53996,0,0,0,0,0,0,,,,,,,,,,,,,
1397021400,53892,0,0,0,0,0,0,,,,,,,,,,,,,
1397022300,53128,0,0,0,0,0,0,,,,,,,,,,,,,
1397023200,52651,0,0,0,0,0,0,,,,,,,,,,,,,
1397024100,52850,0,0,0,0,0,0,,,,,,,,,,,,,
1397025000,53610,0,0,0,0,0,0,,,,,,,,,,,,,
1397025900,53657,0,0,0,0,0,0,,,,,,,,,,,,,
1397026800,52423,0,0,0,0,0,0,,,,,,,,,,,,,
1397027700,52594,0,0,0,0,0,0,,,,,,,,,,,,,
1397028600,53182,0,0,0,0,0,0,,,,,,,,,,,,,
1397029500,52418,0,0,0,0,0,0,,,,,,,,,,,,,
1397030400,52748,0,0,0,0,0,0,,,,,,,,,,,,,
1397031300,53332,0,0,0,0,0,0,,,,,,,,,,,,,
1397032200,52782,0,0,0,0,0,0,,,,,,,,,,,,,
1397033100,53981,0,0,0,0,0,0,,,,,,,,,,,,,
1397034000,55083,0,0,0,0,0,0,,,,,,,,,,,,,
1397034900,55295,0,0,0,0,0,0,,,,,,,,,,,,,
1397035800,55906,0,0,0,0,0,0,,,,,,,,,,,,,
1397036700,55884,0,0,0,0,0,0,,,,,,,,,,,,,
1397037600,56083,0,0,0,0,0,0,,,,,,,,,,,,,
1397038500,57008,0,0,0,0,0,0,,,,,,,,,,,,,
1397039400,55549,0,0,0,0,0,0,,,,,,,,,,,,,
1397040300,56342,0,0,0,0,0,0,,,,,,,,,,,,,
1397041200,56269,0,0,0,0,0,0,,,,,,,,,,,,,
1397042100,56121,0,0,0,0,0,0,,,,,,,,,,,,,
1397043000,54167,0,0,0,0,0,0,,,,,,,,,,,,,
1397043900,52480,0,0,0,0,0,0,,,,,,,,,,,,,
1397044800,51426,0,0,0,0,0,0,,,,,,,,,,,,,
1397045700,50093,0,0,0,0,0,0,,,,,,,,,,,,,
1397046600,49088,0,0,0,0,0,0,,,,,,,,,,,,,
1397047500,48035,0,0,0,0,0,0,,,,,,,,,,,,,
1397048400,46095,0,0,0,0,0,0,,,,,,,,,,,,,
1397049300,45441,0,0,0,0,0,0,,,,,,,,,,,,,
1397050200,44468,0,0,0,0,0,0,,,,,,,,,,,,,
1397051100,43273,0,0,0,0,0,0,,,,,,,,,,,,,
1397052000,42536,0,0,0,0,0,0,,,,,,,,,,,,,
1397052900,42069,0,0,0,0,0,0,,,,,,,,,,,,,
1397053800,41295,0,0,0,0,0,0,,,,,,,,,,,,,
1397054700,40636,0,0,0,0,0,0,,,,,,,,,,,,,
1397055600,39929,0,0,0,0,0,0,,,,,,,,,,,,,
1397056500,39250,0,0,0,0,0,0,,,,,,,,,,,,,
1397057400,39734,0,0,0,0,0,0,,,,,,,,,,,,,
1397058300,39187,0,0,0,0,0,0,,,,,,,,,,,,,
1397059200,39054,0,0,0,0,0,0,,,,,,,,,,,,,
1397060100,38774,0,0,0,0,0,0,,,,,,,,,,,,,
1397061000,38645,0,0,0,0,0,0,,,,,,,,,,,,,
1397061900,38833,0,0,0,0,0,0,,,,,,,,,,,,,
1397062800,38526,0,0,0,0,0,0,,,,,,,,,,,,,
1397063700,38533,0,0,0,0,0,0,,,,,,,,,,,,,
1397064600,38857,0,0,0,0,0,0,,,,,,,,,,,,,
1397065500,39004,0,0,0,0,0,0,,,,,,,,,,,,,
1397066400,39167,0,0,0,0,0,0,,,,,,,,,,,,,
1397067300,39344,0,0,0,0,0,0,,,,,,,,,,,,,
1397068200,40157,0,0,0,0,0,0,,,,,,,,,,,,,
1397069100,40528,0,0,0,0,0,0,,,,,,,,,,,,,
1397070000,41702,0,0,0,0,0,0,,,,,,,,,,,,,
1397070900,42748,0,0,0,0,0,0,,,,,,,,,,,,,
1397071800,43757,0,0,0,0,0,0,,,,,,,,,,,,,
1397072700,45052,0,0,0,0,0,0,,,,,,,,,,,,,
1397073600,45869,0,0,0,0,0,0,,,,,,,,,,,,,
1397074500,46781,0,0,0,0,0,0,,,,,,,,,,,,,
1397075400,47159,0,0,0,0,0,0,,,,,,,,,,,,,
1397076300,47598,0,0,0,0,0,0,,,,,,,,,,,,,
1397077200,48132,0,0,0,0,0,0,,,,,,,,,,,,,
1397078100,47982,0,0,0,0,0,0,,,,,,,,,,,,,
1397079000,47638,0,0,0,0,0,0,,,,,,,,,,,,,
1397079900,47665,0,0,0,0,0,0,,,,,,,,,,,,,
1397080800,47515,0,0,0,0,0,0,,,,,,,,,,,,,
1397081700,47582,0,0,0,0,0,0,,,,,,,,,,,,,
1397082600,47976,0,0,0,0,0,0,,,,,,,,,,,,,
1397083500,48433,0,0,0,0,0,0,,,,,,,,,,,,,
1397084400,49069,0,0,0,0,0,0,,,,,,,,,,,,,
1397085300,48898,0,0,0,0,0,0,,,,,,,,,,,,,
1397086200,49688,0,0,0,0,0,0,,,,,,,,,,,,,
1397087100,49088,0,0,0,0,0,0,,,,,,,,,,,,,
1397088000,49617,0,0,0,0,0,0,,,,,,,,,,,,,
1397088900,49491,0,0,0,0,0,0,,,,,,,,,,,,,
1397089800,48753,0,0,0,0,0,0,,,,,,,,,,,,,
1397090700,48140,0,0,0,0,0,0,,,,,,,,,,,,,
1397091600,49866,0,0,0,0,0,0,,,,,,,,,,,,,
1397092500,49343,0,0,0,0,0,0,,,,,,,,,,,,,
1397093400,48182,0,0,0,0,0,0,,,,,,,,,,,,,
1397094300,50459,0,0,0,0,0,0,,,,,,,,,,,,,
1397095200,49901,0,0,0,0,0,0,,,,,,,,,,,,,
1397096100,50883,0,0,0,0,0,0,,,,,,,,,,,,,
1397097000,50844,0,0,0,0,0,0,,,,,,,,,,,,,
1397097900,49760,0,0,0,0,0,0,,,,,,,,,,,,,
1397098800,50125,0,0,0,0,0,0,,,,,,,,,,,,,
1397099700,50318,0,0,0,0,0,0,,,,,,,,,,,,,
1397100600,50859,0,0,0,0,0,0,,,,,,,,,,,,,
1397101500,50133,0,0,0,0,0,0,,,,,,,,,,,,,
1397102400,50382,0,0,0,0,0,0,,,,,,,,,,,,,
1397103300,50642,0,0,0,0,0,0,,,,,,,,,,,,,
1397104200,50917,0,0,0,0,0,0,,,,,,,,,,,,,
1397105100,51558,0,0,0,0,0,0,,,,,,,,,,,,,
1397106000,51943,0,0,0,0,0,0,,,,,,,,,,,,,
1397106900,51214,0,0,0,0,0,0,,,,,,,,,,,,,
1397107800,52971,0,0,0,0,0,0,,,,,,,,,,,,,
1397108700,52162,0,0,0,0,0,0,,,,,,,,,,,,,
1397109600,52175,0,0,0,0,0,0,,,,,,,,,,,,,
1397110500,52672,0,0,0,0,0,0,,,,,,,,,,,,,
1397111400,53633,0,0,0,0,0,0,,,,,,,,,,,,,
1397112300,53570,0,0,0,0,0,0,,,,,,,,,,,,,
1397113200,52713,0,0,0,0,0,0,,,,,,,,,,,,,
1397114100,53041,0,0,0,0,0,0,,,,,,,,,,,,,
1397115000,53606,0,0,0,0,0,0,,,,,,,,,,,,,
1397115900,52813,0,0,0,0,0,0,,,,,,,,,,,,,
1397116800,52618,0,0,0,0,0,0,,,,,,,,,,,,,
1397117700,52892,0,0,0,0,0,0,,,,,,,,,,,,,
1397118600,53469,0,0,0,0,0,0,,,,,,,,,,,,,
1397119500,54790,0,0,0,0,0,0,,,,,,,,,,,,,
1397120400,51588,0,0,0,0,0,0,,,,,,,,,,,,,
1397121300,53701,0,0,0,0,0,0,,,,,,,,,,,,,
1397122200,53333,0,0,0,0,0,0,,,,,,,,,,,,,
1397123100,53360,0,0,0,0,0,0,,,,,,,,,,,,,
1397124000,53834,0,0,0,0,0,0,,,,,,,,,,,,,
1397124900,55009,0,0,0,0,0,0,,,,,,,,,,,,,
1397125800,54578,0,0,0,0,0,0,,,,,,,,,,,,,
1397126700,54833,0,0,0,0,0,0,,,,,,,,,,,,,
1397127600,53732,0,0,0,0,0,0,,,,,,,,,,,,,
1397128500,54092,0,0,0,0,0,0,,,,,,,,,,,,,
1397129400,52336,0,0,0,0,0,0,,,,,,,,,,,,,
1397130300,51396,0,0,0,0,0,0,,,,,,,,,,,,,
1397131200,50346,0,0,0,0,0,0,,,,,,,,,,,,,
1397132100,48726,0,0,0,0,0,0,,,,,,,,,,,,,
1397133000,46654,0,0,0,0,0,0,,,,,,,,,,,,,
1397133900,45644,0,0,0,0,0,0,,,,,,,,,,,,,
1397134800,44419,0,0,0,0,0,0,,,,,,,,,,,,,
1397135700,43944,0,0,0,0,0,0,,,,,,,,,,,,,
1397136600,42646,0,0,0,0,0,0,,,,,,,,,,,,,
1397137500,42083,0,0,0,0,0,0,,,,,,,,,,,,,
1397138400,41197,0,0,0,0,0,0,,,,,,,,,,,,,
1397139300,39430,0,0,0,0,0,0,,,,,,,,,,,,,
1397140200,39365,0,0,0,0,0,0,,,,,,,,,,,,,
1397141100,39077,0,0,0,0,0,0,,,,,,,,,,,,,
1397142000,38768,0,0,0,0,0,0,,,,,,,,,,,,,
1397142900,37852,0,0,0,0,0,0,,,,,,,,,,,,,
1397143800,37632,0,0,0,0,0,0,,,,,,,,,,,,,
1397144700,37769,0,0,0,0,0,0,,,,,,,,,,,,,
1397145600,37364,0,0,0,0,0,0,,,,,,,,,,,,,
1397146500,37446,0,0,0,0,0,0,,,,,,,,,,,,,
1397147400,37116,0,0,0,0,0,0,,,,,,,,,,,,,
1397148300,36375,0,0,0,0,0,0,,,,,,,,,,,,,
1397149200,36575,0,0,0,0,0,0,,,,,,,,,,,,,
1397150100,36739,0,0,0,0,0,0,,,,,,,,,,,,,
1397151000,37202,0,0,0,0,0,0,,,,,,,,,,,,,
1397151900,37014,0,0,0,0,0,0,,,,,,,,,,,,,
1397152800,37523,0,0,0,0,0,0,,,,,,,,,,,,,
1397153700,37974,0,0,0,0,0,0,,,,,,,,,,,,,
1397154600,38469,0,0,0,0,0,0,,,,,,,,,,,,,
1397155500,39404,0,0,0,0,0,0,,,,,,,,,,,,,
1397156400,40048,0,0,0,0,0,0,,,,,,,,,,,,,
1397157300,40892,0,0,0,0,0,0,,,,,,,,,,,,,
1397158200,42035,0,0,0,0,0,0,,,,,,,,,,,,,
1397159100,43128,0,0,0,0,0,0,,,,,,,,,,,,,
1397160000,44447,0,0,0,0,0,0,,,,,,,,,,,,,
1397160900,45034,0,0,0,0,0,0,,,,,,,,,,,,,
1397161800,45575,0,0,0,0,0,0,,,,,,,,,,,,,
1397162700,46310,0,0,0,0,0,0,,,,,,,,,,,,,
1397163600,46047,0,0,0,0,0,0,,,,,,,,,,,,,
1397164500,46796,0,0,0,0,0,0,,,,,,,,,,,,,
1397165400,46694,0,0,0,0,0,0,,,,,,,,,,,,,
1397166300,46361,0,0,0,0,0,0,,,,,,,,,,,,,
1397167200,47261,0,0,0,0,0,0,,,,,,,,,,,,,
1397168100,46585,0,0,0,0,0,0,,,,,,,,,,,,,
1397169000,46290,0,0,0,0,0,0,,,,,,,,,,,,,
1397169900,47698,0,0,0,0,0,0,,,,,,,,,,,,,
1397170800,47876,0,0,0,0,0,0,,,,,,,,,,,,,
1397171700,47784,0,0,0,0,0,0,,,,,,,,,,,,,
1397172600,48073,0,0,0,0,0,0,,,,,,,,,,,,,
1397173500,48216,0,0,0,0,0,0,,,,,,,,,,,,,
1397174400,46931,0,0,0,0,0,0,,,,,,,,,,,,,
1397175300,47591,0,0,0,0,0,0,,,,,,,,,,,,,
1397176200,47420,0,0,0,0,0,0,,,,,,,,,,,,,
1397177100,48125,0,0,0,0,0,0,,,,,,,,,,,,,
1397178000,47721,0,0,0,0,0,0,,,,,,,,,,,,,
1397178900,48626,0,0,0,0,0,0,,,,,,,,,,,,,
1397179800,49009,0,0,0,0,0,0,,,,,,,,,,,,,
1397180700,48970,0,0,0,0,0,0,,,,,,,,,,,,,
1397181600,49777,0,0,0,0,0,0,,,,,,,,,,,,,
1397182500,49393,0,0,0,0,0,0,,,,,,,,,,,,,
1397183400,49250,0,0,0,0,0,0,,,,,,,,,,,,,
1397184300,48567,0,0,0,0,0,0,,,,,,,,,,,,,
1397185200,48513,0,0,0,0,0,0,,,,,,,,,,,,,
1397186100,48899,0,0,0,0,0,0,,,,,,,,,,,,,
1397187000,49273,0,0,0,0,0,0,,,,,,,,,,,,,
1397187900,49164,0,0,0,0,0,0,,,,,,,,,,,,,
1397188800,47570,1,0,0,0,0,0,,,,,,,,,,,,,
1397189700,50018,0,0,0,0,0,0,,,,,,,,,,,,,
1397190600,50535,0,0,0,0,0,0,,,,,,,,,,,,,
1397191500,50138,0,0,0,0,0,0,,,,,,,,,,,,,
1397192400,49800,0,0,0,0,0,0,,,,,,,,,,,,,
1397193300,51488,0,0,0,0,0,0,,,,,,,,,,,,,
1397194200,51702,0,0,0,0,0,0,,,,,,,,,,,,,
1397195100,50776,0,0,0,0,0,0,,,,,,,,,,,,,
1397196000,51323,0,0,0,0,0,0,,,,,,,,,,,,,
1397196900,51715,0,0,0,0,0,0,,,,,,,,,,,,,
1397197800,51870,0,0,0,0,0,0,,,,,,,,,,,,,
1397198700,51656,0,0,0,0,0,0,,,,,,,,,,,,,
1397199600,51685,0,0,0,0,0,0,,,,,,,,,,,,,
1397200500,51811,0,0,0,0,0,0,,,,,,,,,,,,,
1397201400,51024,0,0,0,0,0,0,,,,,,,,,,,,,
1397202300,51936,0,0,0,0,0,0,,,,,,,,,,,,,
1397203200,50567,0,0,0,0,0,0,,,,,,,,,,,,,
1397204100,52227,0,0,0,0,0,0,,,,,,,,,,,,,
1397205000,52451,0,0,0,0,0,0,,,,,,,,,,,,,
1397205900,52241,0,0,0,0,0,0,,,,,,,,,,,,,
1397206800,52680,0,0,0,0,0,0,,,,,,,,,,,,,
1397207700,53057,0,0,0,0,0,0,,,,,,,,,,,,,
1397208600,51834,0,0,0,0,0,0,,,,,,,,,,,,,
1397209500,53779,0,0,0,0,0,0,,,,,,,,,,,,,
1397210400,53466,0,0,0,0,0,0,,,,,,,,,,,,,
1397211300,52179,0,0,0,0,0,0,,,,,,,,,,,,,
1397212200,53388,0,0,0,0,0,0,,,,,,,,,,,,,
1397213100,53618,0,0,0,0,0,0,,,,,,,,,,,,,
1397214000,53448,0,0,0,0,0,0,,,,,,,,,,,,,
1397214900,51942,0,0,0,0,0,0,,,,,,,,,,,,,
1397215800,52477,0,0,0,0,0,0,,,,,,,,,,,,,
1397216700,50826,0,0,0,0,0,0,,,,,,,,,,,,,
1397217600,50242,0,0,0,0,0,0,,,,,,,,,,,,,
1397218500,49062,0,0,0,0,0,0,,,,,,,,,,,,,
1397219400,47658,0,0,0,0,0,0,,,,,,,,,,,,,
1397220300,46958,0,0,0,0,0,0,,,,,,,,,,,,,
1397221200,45191,0,0,0,0,0,0,,,,,,,,,,,,,
1397222100,44985,0,0,0,0,0,0,,,,,,,,,,,,,
1397223000,43411,0,0,0,0,0,0,,,,,,,,,,,,,
1397223900,42802,0,0,0,0,0,0,,,,,,,,,,,,,
1397224800,42250,0,0,0,0,0,0,,,,,,,,,,,,,
1397225700,41264,0,0,0,0,0,0,,,,,,,,,,,,,
1397226600,40609,0,0,0,0,0,0,,,,,,,,,,,,,
1397227500,40381,0,0,0,0,0,0,,,,,,,,,,,,,
1397228400,39721,0,0,0,0,0,0,,,,,,,,,,,,,
1397229300,39330,0,0,0,0,0,0,,,,,,,,,,,,,
1397230200,39226,0,0,0,0,0,0,,,,,,,,,,,,,
1397231100,38224,0,0,0,0,0,0,,,,,,,,,,,,,
1397232000,37857,0,0,0,0,0,0,,,,,,,,,,,,,
1397232900,38016,0,0,0,0,0,0,,,,,,,,,,,,,
1397233800,37525,0,0,0,0,0,0,,,,,,,,,,,,,
1397234700,37396,0,0,0,0,0,0,,,,,,,,,,,,,
1397235600,36910,0,0,0,0,0,0,,,,,,,,,,,,,
1397236500,36883,0,0,0,0,0,0,,,,,,,,,,,,,
1397237400,37109,0,0,0,0,0,0,,,,,,,,,,,,,
1397238300,37080,0,0,0,0,0,0,,,,,,,,,,,,,
1397239200,35791,1,0,0,0,0,0,,,,,,,,,,,,,
1397240100,37348,0,0,0,0,0,0,,,,,,,,,,,,,
1397241000,37668,0,0,0,0,0,0,,,,,,,,,,,,,
1397241900,37993,0,0,0,0,0,0,,,,,,,,,,,,,
1397242800,38496,0,0,0,0,0,0,,,,,,,,,,,,,
1397243700,39018,0,0,0,0,0,0,,,,,,,,,,,,,
1397244600,39736,0,0,0,0,0,0,,,,,,,,,,,,,
1397245500,40502,0,0,0,0,0,0,,,,,,,,,,,,,
1397246400,41624,0,0,0,0,0,0,,,,,,,,,,,,,
1397247300,42088,0,0,0,0,0,0,,,,,,,,,,,,,
1397248200,42866,0,0,0,0,0,0,,,,,,,,,,,,,
1397249100,45552,0,0,0,0,0,0,,,,,,,,,,,,,
1397250000,45377,0,0,0,0,0,0,,,,,,,,,,,,,
1397250900,46306,0,0,0,0,0,0,,,,,,,,,,,,,
1397251800,46538,0,0,0,0,0,0,,,,,,,,,,,,,
1397252700,47457,0,0,0,0,0,0,,,,,,,,,,,,,
1397253600,47689,0,0,0,0,0,0,,,,,,,,,,,,,
1397254500,48370,0,0,0,0,0,0,,,,,,,,,,,,,
1397255400,47886,0,0,0,0,0,0,,,,,,,,,,,,,
1397256300,47713,0,0,0,0,0,0,,,,,,,,,,,,,
1397257200,48111,0,0,0,0,0,0,,,,,,,,,,,,,
1397258100,47860,0,0,0,0,0,0,,,,,,,,,,,,,
